Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Cumulative Revenue
5645-1,2014-10-18,Danine Chand,"127 Liverpool St, Sydney",Sydney,NSW,Consumer,Samantha Chairs,High,Artisan 481 Labels,Office Supplies,Small Pack,Regular Air,2014-10-21,1.94,3.08,1.14,37.0,141.68,8.0,5.67,136.01,0.99,137.0,238606.33999999907
5367-1,2014-10-18,Patrick Jones,"221 Barkly St, St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Critical,3Max Organizer Strips,Office Supplies,Wrap Bag,Regular Air,2014-10-20,3.4,5.4,2.0,32.0,48.6,3.0,5.17,44.23,7.78,52.01,238658.34999999907
5605-1,2014-10-19,Barry Franz,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Consumer,Yvette Biti,Low,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,2014-10-20,1.84,2.88,1.04,44.0,43.56,1.0,2.18,41.38,0.99,45.68,238704.02999999907
5407-1,2014-10-19,Frank Merwin,"24 Addison Rd, Marrickville",Sydney,NSW,Small Business,Radhya Staples,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2014-10-21,2.5,5.68,3.18,47.0,339.56,0.0,32.55,228.69,3.6,231.96,238935.98999999906
5655-2,2014-10-19,Barry Franz,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Small Business,Yvette Biti,Low,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,2014-10-20,2.52,4.0,1.48,40.0,76.0,5.0,0.76,75.24,1.3,76.54,239012.52999999907
5159-1,2014-10-20,Michael Nguyen,"2a/285A Crown St, Surry Hills",Sydney,NSW,Consumer,Phoebe Gour,Critical,Alto 3-Hole Punch,Office Supplies,Wrap Bag,Regular Air,2014-10-21,2.76,4.38,1.62,32.0,83.12,6.0,5.53,76.09,6.21,74.08,239086.60999999905
5479-1,2014-10-20,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,2013-10-21,2.26,3.58,1.32,31.0,26.92,5.0,0.75,26.63,5.47,27.62,239114.22999999905
5663-1,2014-10-21,Philip Brown,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Low,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,2014-10-21,3.65,5.98,2.33,48.0,374.44,10.0,0.0,374.44,1.49,377.56,239491.78999999905
5705-1,2014-10-21,Greg Hansen,"221 Barkly St, St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Medium,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Wrap Bag,Regular Air,2014-10-22,2.16,3.85,1.69,19.0,76.6,1.0,2.71,74.39,0.7,74.88,239566.66999999905
5339-1,2014-10-21,Philip Brown,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Consumer,Yvette Biti,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,2014-10-21,2.26,3.58,1.32,39.0,95.76,6.0,2.67,82.89,5.47,87.38,239654.04999999906
5248-1,2014-10-21,Philip Brown,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Critical,Office Shears by Apex,Office Supplies,Small Box,Regular Air,2014-10-21,0.94,2.08,1.14,8.0,89.64,8.0,2.73,84.97,2.56,87.53,239741.57999999906
5370-1,2014-10-21,Philip Brown,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Medium,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Regular Air,2014-10-21,1.31,2.84,1.53,50.0,53.54,8.0,2.79,59.01,0.93,65.57,239807.14999999906
5663-1,2014-10-21,Philip Brown,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Small Business,Yvette Biti,High,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Express Air,2014-10-21,2.98,5.84,2.86,18.0,374.44,3.0,0.0,374.44,0.83,377.56,240184.70999999906
5663-1,2014-10-21,Lindsay Shagiari,"5/250 Old Northern Road , Castle Hill",Sydney,NSW,Home Office,Nicholas Fernandes,High,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Small Box,Regular Air,2014-10-22,1.76,3.38,1.62,30.0,374.44,9.0,0.0,374.44,0.85,377.56,240562.26999999906
5663-1,2014-10-21,Roger Demir,"181 Enmore Rd, Enmore",Sydney,NSW,Consumer,Radhya Staples,High,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Wrap Bag,Regular Air,2014-10-22,4.48,8.14,3.66,43.0,374.44,6.0,0.0,374.44,3.12,377.56,240939.82999999906
5207-1,2014-10-22,Kelly Collister,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Medium,Artisan Printable Repositionable Plastic Tabs,Technology,Small Box,Regular Air,2014-10-23,5.33,8.6,3.27,9.0,514.88,10.0,11.04,477.58,6.19,482.53,241422.35999999905
5847-1,2014-10-22,Kelly Collister,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Home Office,Yvette Biti,High,Artisan Round Ring Poly Binders,Office Supplies,Small Box,Regular Air,2014-10-23,1.82,2.84,1.02,18.0,43.22,4.0,0.69,43.38,5.44,45.9,241468.25999999905
5645-1,2014-10-22,Roger Demir,"5/153 Ermore Rd, Enmore",Sydney,NSW,Corporate,Leighton Forrest,High,Artisan 481 Labels,Technology,Jumbo Drum,Delivery Truck,2014-10-22,1.94,3.08,1.14,13.0,141.68,4.0,5.67,136.01,0.99,137.0,241605.25999999905
5548-1,2014-10-22,Kelly Collister,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Critical,Pizazz Drawing Pencil Set,Office Supplies,Small Box,Express Air,2014-10-23,1.53,2.78,1.25,9.0,126.72,9.0,10.76,116.76,1.34,119.71,241724.96999999904
5768-2,2014-10-23,Caroline Jumper,"145 Ramsay St, Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Beekin 105-Key Black Keyboard,Technology,Small Box,Regular Air,2014-10-25,6.39,19.98,13.59,36.0,860.18,6.0,26.51,753.47,4.0,738.15,242463.11999999903
5670-1,2014-10-26,Catherine Glotzbach,"127 Liverpool St, Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,2014-10-27,3.65,5.98,2.33,10.0,113.62,5.0,1.14,112.48,1.49,113.97,242577.08999999904
5611-1,2014-10-27,Mike Gockenbach,"180 High Street, Windsor",Melbourne,VIC,Consumer,Connor Betts,Medium,Binder Clips by OIC,Office Supplies,Small Box,Regular Air,2014-10-31,0.93,1.48,0.55,2.0,38.5,10.0,2.31,36.19,0.7,36.89,242613.97999999905
5699-1,2014-10-27,Mike Gockenbach,"180 High Street, Windsor",Melbourne,VIC,Corporate,Connor Betts,Medium,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Regular Air,2014-10-31,1.53,2.78,1.25,10.0,93.08,5.0,2.33,90.01,1.34,94.01,242707.98999999906
5661-1,2014-10-27,Mike Gockenbach,"180 High Street, Windsor",Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Small Box,Regular Air,2014-10-31,2.16,3.85,1.69,21.0,38.5,2.0,2.31,36.19,0.7,36.89,242744.87999999907
5671-1,2014-10-27,Mike Gockenbach,"180 High Street, Windsor",Melbourne,VIC,Small Business,Connor Betts,Medium,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Box,Regular Air,2014-10-31,1.31,2.84,1.53,23.0,38.5,6.0,2.31,36.19,0.93,36.83,242781.70999999906
5658-1,2014-10-27,Sam Craven,"8 Rankins Lane , Melbourne",Melbourne,VIC,Consumer,Connor Betts,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2014-10-29,1.84,2.88,1.04,22.0,50.4,10.0,0.5,49.9,0.99,50.4,242832.10999999905
5321-1,2014-10-27,Mike Gockenbach,"180 High Street, Windsor",Melbourne,VIC,Home Office,Connor Betts,Medium,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Regular Air,2014-10-31,4.46,10.89,6.43,13.0,36.04,6.0,2.1,34.86,4.5,34.96,242867.06999999905
6131-1,2014-10-27,Denise Leinenbach,"8 Rankins Lane , Melbourne",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Small Pack,Regular Air,2014-10-31,1.53,2.78,1.25,23.0,104.79,1.0,2.33,106.29,1.34,107.28,242974.34999999905
5741-1,2014-10-27,Mike Gockenbach,"180 High Street, Windsor",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Wirebound Voice Message Log Book,Office Supplies,Wrap Bag,Regular Air,2014-10-31,2.9,4.76,1.86,45.0,38.5,10.0,2.31,36.19,0.88,37.8,243012.14999999903
5674-1,2014-10-29,Brendan Murry,"2/797 Botany Rd, Rosebery",Sydney,NSW,Consumer,Samantha Chairs,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Box,Regular Air,2014-10-31,4.79,11.97,7.18,37.0,275.31,3.0,2.75,272.56,5.81,278.37,243290.51999999903
5070-1,2014-10-29,Mike Gockenbach,"224A Gertrude St, Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,Smiths Standard Envelopes,Office Supplies,Small Box,Regular Air,2014-10-21,3.52,5.68,2.16,29.0,91.14,3.0,5.65,87.49,1.39,88.39,243378.90999999904
5352-1,2014-10-29,Brendan Murry,"797 Botany Rd, Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Low,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Small Box,Regular Air,2014-10-31,2.29,3.58,1.29,46.0,26.9,9.0,2.8,26.13,1.63,27.42,243406.32999999906
5373-1,2014-10-29,Brendan Murry,"2/797 Botany Rd, Rosebery",Sydney,NSW,Small Business,Samantha Chairs,Low,Apex Box Cutter Scissors,Technology,Small Pack,Express Air,2014-10-31,4.19,10.23,6.04,46.0,273.3,9.0,15.55,260.81,4.68,275.84,243682.16999999905
5606-1,2014-10-29,Brendan Murry,"797 Botany Rd, Rosebery",Sydney,NSW,Consumer,Phoebe Gour,Critical,"Angle-D Binders with Locking Rings, Label Holders",Technology,Small Pack,Regular Air,2014-10-31,4.53,7.3,2.77,16.0,275.21,3.0,2.85,252.69,7.72,262.97,243945.13999999905
5674-1,2014-10-29,Brendan Murry,"2/797 Botany Rd, Rosebery",Sydney,NSW,Corporate,Samantha Chairs,Critical,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Box,Regular Air,2014-10-31,4.79,11.97,7.18,11.0,275.31,8.0,2.75,272.56,5.81,278.37,244223.50999999905
5402-1,2014-11-02,Lindsay Shagiari,"5/250 Old Northern Road , Castle Hill",Sydney,NSW,Consumer,Nicholas Fernandes,High,Artisan 48 Labels,Office Supplies,Small Pack,Regular Air,2014-11-04,3.84,6.3,2.46,26.0,49.94,8.0,0.4,45.58,0.5,48.17,244271.67999999906
5677-1,2014-11-02,Lindsay Shagiari,"5/250 Old Northern Road, Castle Hill",Sydney,NSW,Corporate,Nicholas Fernandes,Low,Security-Tint Envelopes,Technology,Small Box,Regular Air,2014-11-04,4.89,7.64,2.75,34.0,91.68,10.0,1.83,89.85,1.39,91.24,244362.91999999905
6475-1,2014-11-02,Lindsay Shagiari,"5/250 Old Northern Road , Castle Hill",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,1726 Digital Answering Machine,Furniture,Small Pack,Regular Air,2014-11-04,8.82,20.99,12.17,10.0,91.68,1.0,1.83,89.85,4.81,92.75,244455.66999999905
5292-1,2014-11-02,Lindsay Shagiari,"5/250 Old Northern Road , Castle Hill",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,2014-11-04,4.79,11.97,7.18,41.0,245.46,2.0,14.45,225.33,5.81,226.33,244681.99999999904
5984-1,2014-11-02,Mone Answer,"1/173-179 Bronte Rd, Waverley",Sydney,NSW,Small Business,Leighton Forrest,High,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Small Box,Regular Air,2014-11-03,1.87,8.12,6.25,27.0,245.46,0.0,14.45,227.43,2.83,221.53,244903.52999999904
5877-1,2014-11-02,Lindsay Shagiari,"5/250 Old Northern Road , Castle Hill",Sydney,NSW,Home Office,Nicholas Fernandes,Not Specified,Smiths Standard Envelopes,Office Supplies,Small Pack,Regular Air,2014-11-04,3.52,5.68,2.16,46.0,47.2,4.0,1.85,44.95,1.39,45.92,244949.44999999905
5663-1,2014-11-03,Robert Barroso,"163 Concord Road, North Strathfield",Sydney,NSW,Small Business,Charlie Bui,Critical,Artisan Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Small Box,Regular Air,2014-11-04,3.52,5.58,2.06,42.0,374.44,7.0,0.0,374.44,2.99,377.56,245327.00999999905
5663-1,2014-11-03,Pete Armstrong,"506 Swan Street, Richmond",Melbourne,VIC,Small Business,Connor Betts,Medium,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2014-11-07,3.99,6.23,2.24,31.0,374.44,0.0,0.0,374.44,6.97,377.56,245704.56999999905
5653-1,2014-11-03,Pete Armstrong,"506 Swan Street, Richmond",Melbourne,VIC,Home Office,Connor Betts,Medium,Artisan Hole Reinforcements,Office Supplies,Small Box,Regular Air,2014-11-07,3.99,6.23,2.24,50.0,374.44,7.0,0.0,374.44,6.97,377.56,246082.12999999904
5426-1,2014-11-03,Pete Armstrong,"506 Swan Street, Richmond",Melbourne,VIC,Corporate,Connor Betts,Medium,EcoTones Memo Sheets,Technology,Small Box,Regular Air,2014-11-07,2.52,4.0,1.48,26.0,132.0,2.0,10.56,121.44,1.3,122.74,246204.86999999903
5816-1,2014-11-03,Joseph Ardolo,"188 Pitt Street, Sydney",Sydney,NSW,Consumer,Tina Carlton,Medium,"Alto Parchment Paper, Assorted Colors",Technology,Small Box,Regular Air,2014-11-04,4.59,7.28,2.69,12.0,371.4,0.0,0.0,377.4,11.15,378.42,246583.28999999905
5722-1,2014-11-03,Pete Armstrong,"506 Swan Street, Richmond",Melbourne,VIC,Home Office,Connor Betts,Medium,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Wrap Bag,Regular Air,2014-11-07,3.88,6.47,2.59,27.0,128.0,9.0,11.52,126.48,1.22,127.78,246711.06999999905
5684-1,2014-11-11,Liz Carlisle,"2/797 Botany Rd, Rosebery",Sydney,NSW,Home Office,Samantha Chairs,Critical,Smiths Pushpins,Technology,Medium Box,Regular Air,2014-11-12,0.94,1.88,0.94,8.0,67.68,9.0,6.77,60.91,0.79,61.7,246772.76999999906
5684-1,2014-11-11,Greg Hansen,"221 Barkly St, St Kilda",Melbourne,VIC,Consumer,Yvette Biti,Medium,Bagged Rubber Bands,Technology,Small Box,Regular Air,2014-11-12,0.24,1.26,1.02,12.0,67.68,0.0,6.77,60.91,0.7,61.7,246834.46999999907
5684-1,2014-11-11,Greg Hansen,"221 Barkly St, St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,Smiths General Use 3-Ring Binders,Technology,Jumbo Drum,Delivery Truck,2014-11-12,1.18,1.88,0.7,6.0,67.68,7.0,6.77,60.91,1.49,61.7,246896.16999999908
6061-1,2014-11-16,Jill Stevenson,"181 Enmore Rd, Enmore",Sydney,NSW,Home Office,Radhya Staples,High,Beekin 105-Key Black Keyboard,Office Supplies,Wrap Bag,Regular Air,2014-11-21,6.39,19.98,13.59,12.0,93.32,10.0,7.85,83.07,4.0,88.59,246984.75999999908
5155-1,2014-11-16,Jill Stevenson,"181 Enmore Rd, Enmore",Sydney,NSW,Corporate,Radhya Staples,Medium,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,2014-11-21,1.84,2.88,1.04,11.0,86.3,9.0,7.63,76.39,0.99,76.68,247061.43999999907
6535-1,2014-11-16,Julia Dunbar,"Qantas Domestic Terminal, Mascot",Sydney,NSW,Home Office,Phoebe Gour,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Express Air,2014-11-18,1.94,3.08,1.14,50.0,188.34,2.0,18.75,169.71,0.99,178.33,247239.76999999906
5687-1,2014-11-17,Giulietta Weimer,"48 Albion St, Surry Hills",Sydney,NSW,Corporate,Natasha Song,Not Specified,Binder Clips by OIC,Office Supplies,Small Box,Regular Air,2014-11-19,0.93,1.48,0.55,1.0,41.44,8.0,1.66,39.78,0.7,40.48,247280.24999999907
5248-1,2014-11-18,Jamie Kunitz,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Office Shears by Apex,Office Supplies,Small Box,Regular Air,2014-11-20,0.94,2.08,1.14,21.0,89.44,3.0,4.47,84.97,2.56,87.53,247367.77999999907
5722-1,2014-11-18,Jamie Kunitz,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Low,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,2014-11-20,1.59,2.61,1.02,19.0,96.57,9.0,8.69,87.88,0.5,88.38,247456.15999999907
5125-1,2014-11-19,Jam Mailer,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,High,Artisan 474 Labels,Office Supplies,Wrap Bag,Express Air,2014-11-21,1.84,2.88,1.04,14.0,56.4,8.0,2.55,53.25,0.99,54.72,247510.87999999907
5359-1,2014-11-19,Brendan Murry,"2/797 Botany Rd, Rosebery",Sydney,NSW,Corporate,Samantha Chairs,Low,PastelOcean Color Pencil Set,Furniture,Small Pack,Regular Air,2014-11-21,11.11,19.84,8.73,17.0,165.92,1.0,15.51,152.97,4.1,157.75,247668.62999999907
5576-1,2014-11-19,Callia Suhley,"Crown Complex, Southbank",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Bagged Rubber Bands,Technology,Small Box,Regular Air,2014-11-21,0.24,1.26,1.02,1.0,53.48,0.0,3.21,50.27,0.7,53.66,247722.28999999908
5693-1,2014-11-22,Julia Barnett,"485 Crown St, Surry Hills",Sydney,NSW,Corporate,Leighton Forrest,Not Specified,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2014-11-22,13.88,22.38,8.5,41.0,223.8,2.0,2.24,221.56,15.1,236.66,247958.94999999908
5695-1,2014-11-22,Julia Barnett,"485 Crown St, Surry Hills",Sydney,NSW,Corporate,Leighton Forrest,Critical,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Pack,Regular Air,2014-11-22,1.31,2.84,1.53,49.0,110.76,9.0,5.54,105.22,0.93,106.15,248065.09999999907
5695-1,2014-11-22,Joseph Airdo,"Westfield Sydney, Sydney",Sydney,NSW,Small Business,Natasha Song,Low,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Regular Air,2014-11-24,1.31,2.84,1.53,48.0,110.76,7.0,5.54,105.22,0.93,106.15,248171.24999999907
6249-1,2014-11-22,Joseph Airdo,"Westfield Sydney, Sydney",Sydney,NSW,Small Business,Natasha Song,High,Apex Straight Scissors,Technology,Jumbo Drum,Delivery Truck,2014-11-24,5.19,12.98,7.79,44.0,318.6,3.0,9.25,283.43,3.14,292.63,248463.87999999907
5693-1,2014-11-22,Julia Barnett,"2a/285A Crown St, Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,High,"Artisan Flip-Chart Easel Binder, Black",Technology,Small Box,Regular Air,2014-11-22,13.88,22.38,8.5,29.0,223.8,6.0,2.24,221.56,15.1,236.66,248700.53999999908
5911-1,2014-11-22,Ale Hulle,"211/25-29 Dixon St, Haymarket",Sydney,NSW,Small Business,Preston Senome,Critical,Steady Pocket Accent Highlighters,Office Supplies,Small Box,Regular Air,2014-11-23,0.93,1.6,0.67,42.0,35.76,7.0,3.5,35.34,1.29,36.45,248736.9899999991
5693-1,2014-11-22,Julia Barnett,"485 Crown St, Surry Hills",Sydney,NSW,Corporate,Leighton Forrest,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Wrap Bag,Regular Air,2014-11-22,13.88,22.38,8.5,37.0,223.8,0.0,2.24,221.56,15.1,236.66,248973.6499999991
5693-1,2014-11-22,Julia Barnett,"2a/285A Crown St, Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2014-11-22,13.88,22.38,8.5,18.0,223.8,4.0,2.24,221.56,15.1,236.66,249210.3099999991
5693-1,2014-11-22,Julia Barnett,"2a/285A Crown St, Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Medium,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2014-11-22,13.88,22.38,8.5,50.0,223.8,2.0,2.24,221.56,15.1,236.66,249446.9699999991
5693-1,2014-11-22,Becky Pak,"79 Elliott St, Balmain",Sydney,NSW,Consumer,Aanya Zhang,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2014-11-27,13.88,22.38,8.5,42.0,223.8,10.0,2.24,221.56,15.1,236.66,249683.6299999991
5693-1,2014-11-22,Julia Barnett,"2a/285A Crown St, Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,High,"Artisan Flip-Chart Easel Binder, Black",Technology,Medium Box,Regular Air,2014-11-22,13.88,22.38,8.5,7.0,223.8,3.0,2.24,221.56,15.1,236.66,249920.2899999991
5693-1,2014-11-22,Julia Barnett,"2a/285A Crown St, Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Low,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Wrap Bag,Regular Air,2014-11-22,13.88,22.38,8.5,39.0,223.8,5.0,2.24,221.56,15.1,236.66,250156.9499999991
5693-1,2014-11-22,Julia Barnett,"2a/285A Crown St, Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Pack,Regular Air,2014-11-22,13.88,22.38,8.5,23.0,223.8,9.0,2.24,221.56,15.1,236.66,250393.6099999991
5370-1,2014-11-22,Harold Ryan,"4A Lyons St, Strathfield",Sydney,NSW,Home Office,Tina Carlton,Medium,Pizazz Drawing Pencil Set,Office Supplies,Small Pack,Regular Air,2014-11-23,1.53,2.78,1.25,22.0,154.46,7.0,3.55,158.66,1.34,157.37,250550.9799999991
5693-1,2014-11-22,Julia Barnett,"2a/285A Crown St, Surry Hills",Sydney,NSW,Consumer,Phoebe Gour,Not Specified,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Express Air,2014-11-22,13.88,22.38,8.5,37.0,223.8,0.0,2.24,221.56,15.1,236.66,250787.6399999991
5695-1,2014-11-23,Joseph Airdo,"Westfield Sydney, Sydney",Sydney,NSW,Home Office,Natasha Song,Not Specified,Steady Liquid Accent Highlighters,Office Supplies,Small Box,Express Air,2014-11-24,3.47,6.68,3.21,34.0,110.76,7.0,5.54,105.22,1.5,106.15,250893.7899999991
5157-1,2014-11-26,Jill Stevenson,"181 Enmore Rd, Enmore",Sydney,NSW,Corporate,Radhya Staples,High,Smiths Metal Binder Clips,Office Supplies,Small Pack,Express Air,2014-11-21,1.6,2.62,1.02,10.0,56.02,1.0,4.75,52.29,0.8,53.0,250946.7899999991
5645-1,2014-11-26,Maurice Satty,"188 Pitt Street, Sydney",Melbourne,VIC,Home Office,Tina Carlton,Medium,Artisan 479 Labels,Office Supplies,Small Box,Express Air,2014-11-28,1.59,2.61,1.02,24.0,79.9,8.0,6.39,73.51,0.5,80.01,251026.79999999912
5721-1,2014-11-26,Maurice Satty,"188 Pitt Street, Sydney",Sydney,NSW,Corporate,Tina Carlton,Medium,Smiths Metal Binder Clips,Technology,Large Box,Regular Air,2014-11-28,1.6,2.62,1.02,9.0,78.6,8.0,6.3,74.08,0.8,76.47,251103.26999999912
5300-1,2014-11-26,Maurice Satty,"188 Pitt Street, Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Binding Machine Supplies,Technology,Small Pack,Regular Air,2014-11-28,18.38,29.17,10.79,32.0,62.3,8.0,6.69,68.19,6.27,69.69,251172.95999999912
5870-1,2014-11-26,Maurice Satty,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Home Office,Tina Carlton,Critical,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Pack,Express Air,2014-11-28,1.31,2.84,1.53,49.0,92.02,7.0,6.34,82.11,0.93,83.78,251256.73999999912
5699-1,2014-11-26,Maurice Satty,"188 Pitt Street, Sydney",Sydney,NSW,Consumer,Tina Carlton,High,TechSavi Access Keyboard,Office Supplies,Wrap Bag,Regular Air,2014-11-28,10.07,15.98,5.91,1.0,79.9,2.0,6.39,73.51,4.0,80.01,251336.74999999913
5701-1,2014-11-30,Lena Creighton,"127 Liverpool St, Sydney",Sydney,NSW,Small Business,Samantha Chairs,High,Alto Memo Cubes,Office Supplies,Wrap Bag,Express Air,2014-12-02,3.32,5.18,1.86,5.0,46.62,1.0,4.2,42.42,2.04,44.46,251381.20999999912
5469-1,2014-11-30,Lena Creighton,"127 Liverpool St, Sydney",Sydney,NSW,Small Business,Samantha Chairs,High,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2014-12-02,0.24,1.26,1.02,41.0,45.6,2.0,6.2,49.5,0.7,40.63,251421.83999999912
5701-1,2014-11-30,Lena Creighton,"127 Liverpool St, Sydney",Sydney,NSW,Corporate,Samantha Chairs,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2014-12-02,3.32,5.18,1.86,6.0,46.62,7.0,4.2,42.42,2.04,44.46,251466.29999999912
5296-1,2014-11-30,Lena Creighton,"127 Liverpool St, Sydney",Sydney,NSW,Consumer,Samantha Chairs,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,2014-12-02,5.19,12.98,7.79,27.0,273.3,7.0,8.2,265.3,3.14,263.96,251730.2599999991
5284-1,2014-12-01,Jesus Ocampo,"60 Commercial Rd, Prahran",Melbourne,VIC,Consumer,Yvette Biti,Not Specified,Artisan 474 Labels,Technology,Small Pack,Regular Air,2014-12-08,1.84,2.88,1.04,21.0,27.92,1.0,0.75,26.13,0.99,27.42,251757.67999999912
5826-1,2014-12-01,Ritsa Hightower,"1/160 Anzac Parade, Kensington",Sydney,NSW,Corporate,Natasha Song,Medium,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Small Box,Regular Air,2014-12-05,1.92,3.26,1.34,50.0,15.02,2.0,0.31,25.32,1.86,14.71,251772.3899999991
5961-1,2014-12-01,Ritsa Hightower,"1/160 Anzac Parade, Kensington",Sydney,NSW,Home Office,Natasha Song,Low,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2014-12-05,0.24,1.26,1.02,48.0,31.92,10.0,0.63,32.09,0.7,33.75,251806.1399999991
5359-1,2014-12-01,Ritsa Hightower,"1/160 Anzac Parade, Kensington",Sydney,NSW,Small Business,Natasha Song,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Express Air,2014-12-05,5.19,12.98,7.79,31.0,371.68,6.0,10.03,363.03,3.14,367.95,252174.08999999912
